CO2,Coolant,Litre per 100km(Instant),GPS Speed,OBD Speed,RPM,Engine Load,Long-Term Fuel Efficiency,Average Speed,RPM Variability,Coolant Temperature Change,Target,Lane_Departure,Forward_Collision,Tire_Pressure_FL,Tire_Pressure_FR,Blind_Spot_Detection,Tire_Pressure_RL,Tire_Pressure_RR
207.63857142857145,75.0,7.845714285714286,48.13,49.0,2005.0,21.09619926991625,4.81197619047619,49.309,25.923820020297143,0.0,0,0,1,1,1,0,1,1
216.5266666666668,76.0,8.11,47.73,49.0,2042.0,21.4855056903586,5.341404761904761,49.166,26.69082239273107,1.0,0,0,1,1,1,0,1,1
224.82428571428576,76.0,8.502857142857142,48.93,50.0,2056.0,22.07429675756925,5.8506904761904766,49.146,30.861698664279,0.0,0,0,1,1,1,0,1,1
222.7957142857143,76.0,8.425714285714287,50.09,50.0,2052.0,22.031350654928065,6.29854761904762,49.316,35.46657268158423,0.0,0,0,1,1,1,0,1,1
192.51666666666668,76.0,7.28,50.09,50.0,2059.0,22.10650633455014,6.592261904761905,49.479,39.7128582591512,0.0,0,0,1,1,1,0,1,1
137.06857142857146,76.0,4.921428571428572,49.02,50.0,2059.0,22.10650633455014,6.631238095238095,49.535,41.2499158248339,0.0,0,0,1,1,1,0,1,1
75.50571428571428,77.0,2.8528571428571423,49.02,49.0,2014.0,21.19089542624007,6.452523809523809,49.38,38.83526461578583,1.0,0,0,1,1,1,0,1,1
55.01333333333333,77.0,2.076666666666666,48.76,48.0,2170.0,22.36633025552931,6.181333333333333,49.123000000000005,56.98430583161871,0.0,0,0,1,1,1,0,1,1
89.89714285714285,77.0,3.398571428571428,46.29,44.0,2263.0,21.38114666094052,5.984523809523809,48.619,84.85549808678239,0.0,0,0,1,1,1,0,1,1
102.17428571428572,77.0,3.865714285714285,43.63,41.0,2188.0,19.26304487867726,5.727952380952381,48.169,85.47488260042226,0.0,0,0,1,1,1,0,1,1
151.79,77.0,5.741666666666667,41.43,41.0,2152.0,18.94610264118532,5.517547619047619,47.499,81.6336668020982,0.0,0,0,1,1,1,0,1,1
151.89,77.0,5.740000000000001,40.78,42.0,2195.0,19.79600601245437,5.280547619047619,46.804,82.74028979618102,0.0,0,0,1,1,1,0,1,1
147.0985714285714,78.0,5.562857142857142,40.47,43.0,2321.0,21.43074940949109,4.986547619047618,45.958,100.26193472876962,1.0,0,0,1,1,1,0,1,1
148.22,78.0,5.604999999999999,39.0,45.0,2357.0,22.7753918831866,4.704476190476191,44.849,113.55938240997035,0.0,1,1,1,1,1,0,1,1
173.8114285714286,78.0,6.571428571428571,41.69,45.0,2357.0,22.7753918831866,4.633619047619048,44.009,117.93614091250376,0.0,1,0,1,1,1,0,1,1
158.26428571428573,78.0,5.987142857142858,45.4,47.0,1953.0,19.710328537685204,4.740190476190476,43.647000000000006,136.1355533609405,0.0,0,0,1,1,1,0,1,1
122.54,78.0,4.63,47.38,48.0,1977.0,20.37706678118961,4.917904761904762,43.483,142.03681056527608,0.0,0,0,1,1,1,0,1,1
80.34857142857143,78.0,3.038571428571428,47.38,49.0,2024.0,21.296113377710974,5.014095238095238,43.345000000000006,151.8618158429289,0.0,0,0,1,1,1,0,1,1
69.48333333333333,78.0,2.623333333333333,47.88,50.0,2059.0,22.10650633455014,4.936571428571428,43.504000000000005,152.97715878885842,0.0,0,0,1,1,1,0,1,1
66.73285714285714,79.0,2.518571428571428,53.55,50.0,2059.0,22.10650633455014,4.801857142857143,44.496,155.61076797931293,1.0,0,0,1,1,1,0,1,1
66.97999999999999,79.0,2.53,53.55,50.0,2066.0,22.18166201417221,4.4806904761904764,45.708,157.56959661615625,0.0,0,0,1,1,1,0,1,1
67.26,79.0,2.539999999999999,51.67,50.0,2066.0,22.18166201417221,4.160690476190476,46.797,157.5559512610621,0.0,0,0,1,1,1,0,1,1
82.19857142857144,79.0,3.104285714285714,51.19,50.0,2037.0,21.87030277002362,3.914833333333333,47.869,143.0044676846779,0.0,0,0,1,1,1,0,1,1
105.2857142857143,79.0,3.9814285714285713,49.87,49.0,2001.0,21.05411208932789,3.75247619047619,48.956,111.51825959107516,0.0,0,0,1,1,1,0,1,1
108.69666666666666,80.0,4.11,48.01,48.0,1980.0,20.40798797509126,3.506333333333333,49.588,41.938579428070135,1.0,0,0,1,1,1,0,1,1
114.92428571428572,80.0,4.344285714285715,47.99,47.0,1947.0,19.649774532961136,3.3420476190476185,49.847,43.066357068031806,0.0,0,0,1,1,1,0,1,1
115.87285714285714,80.0,4.381428571428571,47.99,47.0,1942.0,19.599312862357746,3.317190476190476,49.908,48.20892033638686,0.0,0,0,1,1,1,0,1,1
77.88833333333334,80.0,2.9466666666666663,47.09,47.0,1923.0,19.40755851406485,3.308,49.879,56.67254871432775,0.0,0,0,1,1,1,0,1,1
70.9,80.0,2.678571428571428,46.9,45.0,1838.0,17.760360747262187,3.3135238095238093,49.781,74.77440144268051,0.0,0,0,1,1,1,0,1,1
70.51,80.0,2.662857142857143,46.9,44.0,1811.0,17.11058621430105,3.327952380952381,49.116,87.82362375174961,0.0,0,0,1,1,1,0,1,1
86.10333333333334,80.0,3.253333333333333,44.28,43.0,1776.0,16.3985398325102,3.400285714285714,48.18900000000001,96.7613903717108,0.0,0,0,1,1,1,0,1,1
58.18571428571429,80.0,2.202857142857143,43.99,43.0,1608.0,14.847326605110586,3.3665714285714285,47.42100000000001,129.27150584031298,0.0,0,0,1,1,1,0,1,1
79.4357142857143,80.0,3.005714285714286,42.99,42.0,1833.0,16.531243289671462,3.3567142857142853,46.601,118.49467873659432,0.0,0,0,1,1,1,0,1,1
69.67,80.0,2.629999999999999,41.18,39.0,1198.0,10.0326390380073,3.2215714285714285,45.732,233.26818138023907,0.0,0,0,1,1,1,0,1,1
86.40714285714286,80.0,3.358571428571428,39.49,37.0,2519.0,20.01352802233197,3.146428571428572,44.88,326.7276303657899,0.0,1,0,1,1,1,0,1,1
135.79857142857142,80.0,5.132857142857143,33.61,31.0,2332.0,15.523298260682845,3.2252857142857136,43.442,361.62227070061175,0.0,1,0,1,1,1,0,1,1
134.15499999999997,80.0,5.07,31.65,28.0,2141.0,12.872664805668885,3.2941428571428566,41.808,370.8921526385922,0.0,0,0,1,1,1,0,1,1
192.13857142857145,80.0,7.265714285714284,26.21,25.0,1913.0,10.26948679407344,3.7260476190476175,39.720000000000006,370.8304344455981,0.0,0,0,1,1,1,0,1,1
256.3614285714286,80.0,9.694285714285714,23.46,25.0,1913.0,10.26948679407344,4.427619047619047,37.376,370.26483014788806,0.0,0,0,1,1,1,0,1,1
426.99,80.0,16.14,24.44,26.0,2038.0,11.378140433755636,5.775333333333333,35.13,370.8603960162548,0.0,0,0,1,1,1,0,1,1
539.5500000000001,80.0,20.292857142857144,24.62,31.0,2328.0,15.496671677045308,7.479285714285714,33.164,386.61725258968994,0.0,1,1,1,1,1,0,1,1
498.26571428571424,80.0,18.83714285714285,29.37,35.0,2573.0,19.33755636675972,9.142714285714286,31.702,402.9005391463814,0.0,1,1,1,1,1,0,1,1
318.50500000000005,81.0,12.04,32.52,35.0,2573.0,19.33755636675972,10.046142857142858,30.655,420.31940235968233,1.0,1,0,1,1,1,0,1,1
289.5214285714286,81.0,10.948571428571428,32.92,35.0,2205.0,16.57182735666738,10.878,29.829,253.79180006016452,0.0,0,0,1,1,1,0,1,1
440.75500000000005,81.0,16.665000000000003,35.07,38.0,1994.0,16.270560446639468,12.208642857142856,29.387,246.97728190620785,0.0,0,0,1,1,1,0,1,1
436.4085714285714,81.0,16.49571428571429,36.6,42.0,2177.0,19.63366974447069,13.344928571428571,29.686,242.66861262956155,0.0,0,1,1,1,1,0,1,1
398.5242857142857,82.0,15.065714285714284,41.34,45.0,2350.0,22.70775177152673,14.344500000000002,30.655,247.364867711198,1.0,1,0,1,1,1,0,1,1
255.495,82.0,9.660000000000002,44.82,46.0,2436.0,24.061842387803303,14.583928571428572,32.516,233.32954758833816,0.0,1,0,1,1,1,0,1,1
200.3457142857143,82.0,7.574285714285714,45.12,46.0,2417.0,23.87416791926133,14.371928571428572,34.682,202.7951621163055,0.0,1,0,1,1,1,0,1,1
192.6414285714285,82.0,7.282857142857141,45.69,47.0,1921.0,19.387373845823493,13.486214285714286,36.807,222.5834175714324,0.0,0,0,1,1,1,0,1,1
159.06666666666663,83.0,6.016666666666666,46.96,47.0,1931.0,19.48829718703028,12.058595238095238,39.041,250.2092679693912,1.0,0,0,1,1,1,0,1,1
117.04285714285712,83.0,4.424285714285715,47.21,47.0,1932.0,19.498389521150955,10.617309523809524,40.825,242.44596190583428,0.0,0,0,1,1,1,0,1,1
93.62857142857142,83.0,3.537142857142857,47.47,47.0,1930.0,19.4782048529096,9.76702380952381,42.32000000000001,214.2729567630988,0.0,0,0,1,1,1,0,1,1
71.24000000000001,83.0,2.693333333333333,47.47,46.0,1884.0,18.60940519647842,8.941500000000001,43.775,225.42641075674217,0.0,0,0,1,1,1,0,1,1
78.63142857142857,84.0,2.972857142857144,46.24,45.0,1863.0,18.001932574618852,7.572285714285714,44.892,235.66381422130573,1.0,0,0,1,1,1,0,1,1
60.31142857142856,84.0,2.277142857142857,45.11,45.0,2243.0,21.6738243504402,6.150428571428571,45.743,239.44846348779825,0.0,0,0,1,1,1,0,1,1
88.12666666666667,84.0,3.33,44.22,42.0,2243.0,20.22890272707752,4.976857142857144,46.031,228.7244824868769,0.0,0,0,1,1,1,0,1,1
93.08285714285716,84.0,3.517142857142857,41.8,39.0,2111.0,17.678548421730728,4.362571428571428,45.729,192.7855746101833,0.0,0,0,1,1,1,0,1,1
182.3628571428572,84.0,6.892857142857143,40.54,33.0,1832.0,12.981747906377496,4.294428571428571,45.271,152.81942866592107,0.0,0,1,1,1,1,0,1,1
362.46,84.0,13.703333333333331,34.15,37.0,1926.0,15.30212583208074,4.93647619047619,44.117,152.5802156972619,0.0,0,0,1,1,1,0,1,1
339.00714285714287,84.0,12.81857142857143,34.15,40.0,2081.0,17.87416791926133,5.616666666666667,42.836,153.56015831661213,0.0,0,1,1,1,1,0,1,1
184.22285714285712,84.0,6.962857142857143,34.01,41.0,2140.0,18.840455228688,5.870523809523809,41.516,156.7035772122381,0.0,0,1,1,1,1,0,1,1
101.57999999999998,84.0,3.838333333333333,38.88,41.0,2140.0,18.840455228688,5.9006428571428575,40.657,156.58441103053178,0.0,0,0,1,1,1,0,1,1
91.83714285714288,84.0,3.475714285714285,39.78,39.0,2092.0,17.519433111445135,5.978880952380953,39.888,146.09315901544414,0.0,0,0,1,1,1,0,1,1
91.94428571428573,85.0,3.469999999999999,39.78,38.0,2019.0,16.474554434185098,6.028595238095238,39.242,129.23368154024385,1.0,0,0,1,1,1,0,1,1
98.52666666666669,85.0,3.723333333333332,38.27,37.0,1962.0,15.588146875671033,6.173214285714286,38.558,120.77913727130502,0.0,0,0,1,1,1,0,1,1
84.93714285714286,85.0,3.208571428571428,37.81,34.0,1511.0,11.03156538544127,6.161071428571428,37.917,193.71009266427183,0.0,0,0,1,1,1,0,1,1
112.50333333333332,85.0,4.253333333333334,33.38,31.0,2160.0,14.378355164268845,6.234690476190476,37.075,197.9265015100322,0.0,0,0,1,1,1,0,1,1
177.28714285714287,85.0,6.704285714285716,31.19,29.0,2173.0,13.531672750697874,6.215833333333333,36.14,197.76371984995035,0.0,0,0,1,1,1,0,1,1
224.7985714285714,85.0,8.498571428571429,29.2,32.0,2392.0,16.43633240283444,5.695357142857143,35.645,225.94345408629388,0.0,1,0,1,1,1,0,1,1
254.62166666666667,85.0,9.646666666666668,33.05,35.0,2583.0,19.41271204638179,5.378166666666667,35.535000000000004,278.9491391315323,0.0,1,0,1,1,1,0,1,1
184.88571428571427,85.0,6.989999999999999,34.81,38.0,2718.0,22.17822632596092,5.380880952380952,35.615,337.860260397041,0.0,1,0,1,1,1,0,1,1
128.68571428571428,85.0,4.865714285714287,38.79,39.0,2115.0,17.712046381790852,5.483619047619048,35.606,338.2402991957061,0.0,0,0,1,1,1,0,1,1
102.57,85.0,3.876666666666667,40.29,41.0,2179.0,19.18380931930428,5.523714285714286,35.657,337.0564740020097,0.0,0,0,1,1,1,0,1,1
91.13857142857144,85.0,3.448571428571429,41.16,42.0,2208.0,19.91324887266481,5.521571428571429,35.795,332.2149404627484,0.0,0,0,1,1,1,0,1,1
91.43,85.0,3.454285714285714,41.16,43.0,2251.0,20.78441056474125,5.494666666666667,36.084,321.6015478127497,0.0,0,0,1,1,1,0,1,1
91.75666666666667,85.0,3.473333333333333,41.97,43.0,2285.0,21.09834657504832,5.521142857142857,36.5,199.59748384074464,0.0,0,0,1,1,1,0,1,1
93.44142857142856,85.0,3.534285714285714,46.85,44.0,2336.0,22.07086106935796,5.449238095238096,37.847,192.9012412839525,0.0,1,0,1,1,1,0,1,1
91.64,86.0,3.468571428571429,48.03,45.0,2415.0,23.33583852265407,5.125666666666667,39.531,186.94075116048185,1.0,1,0,1,1,1,0,1,1
91.21666666666664,86.0,3.446666666666666,48.03,46.0,2429.0,23.992699162551,4.62047619047619,41.414,188.2654449913168,0.0,1,0,1,1,1,0,1,1
90.72,86.0,3.429999999999999,47.32,46.0,2429.0,23.992699162551,3.9988095238095234,42.841,172.9356013729474,0.0,1,0,1,1,1,0,1,1
51.37714285714286,86.0,1.87,46.5,44.0,1946.0,18.38608546274425,3.486809523809524,44.010000000000005,155.1021527180669,0.0,0,0,1,1,1,0,1,1
90.375,86.0,3.606666666666667,42.08,41.0,3021.0,26.59673609619927,3.3609047619047616,44.339,277.64703812174645,0.0,1,0,1,1,1,0,1,1
129.42285714285714,86.0,4.8900000000000015,41.41,40.0,2982.0,25.61305561520292,3.462238095238095,44.451,333.2755949994283,0.0,1,0,1,1,1,0,1,1
130.28571428571428,85.0,4.925714285714286,41.41,38.0,2867.0,23.39403049173288,3.609952380952381,44.476,349.2288170622054,-1.0,1,0,1,1,1,0,1,1
140.19666666666666,85.0,5.298333333333334,36.71,34.0,2528.0,18.4565170710758,3.794357142857143,44.031,338.4470416475828,0.0,1,0,1,1,1,0,1,1
321.81,80.0,12.510000000000002,33.2,33.0,2526.0,17.899506119819627,4.698023809523809,43.154,327.97169593325265,-5.0,1,0,1,1,1,0,1,1
470.0514285714286,80.0,18.345714285714287,33.77,35.0,2566.0,19.284947391024264,6.179166666666667,41.846,319.41350768070134,0.0,1,0,1,1,1,0,1,1
560.805,76.0,21.38166666666667,38.61,36.0,2706.0,20.91818767446854,7.970476190476191,40.904,316.8778243354307,-4.0,1,0,1,1,1,0,1,1
609.0257142857143,76.0,23.02428571428572,40.16,40.0,2965.0,25.46703886622289,9.928238095238097,40.117,329.807755450893,0.0,1,0,1,1,1,0,1,1
592.11,75.0,22.385714285714283,42.01,43.0,3263.0,30.12862357741035,11.823809523809524,39.586,369.7335376847619,-1.0,1,0,1,1,1,0,1,1
214.17,76.0,8.098333333333333,42.01,44.0,3263.0,30.829289242001288,12.44664285714286,39.137,280.4504511594798,1.0,1,0,1,1,1,0,1,1
244.23142857142847,76.0,9.328571428571427,41.67,43.0,2763.0,25.51191754348293,13.018833333333331,39.096,276.7254756774106,0.0,1,0,1,1,1,0,1,1
312.31714285714287,77.0,11.804285714285712,40.76,39.0,2085.0,17.46081168133992,13.710261904761904,39.031,359.59786181542114,1.0,0,0,1,1,1,0,1,1
170.85000000000002,77.0,6.46,38.84,39.0,2125.0,17.795791281941163,13.863690476190476,38.774,406.94307546224127,0.0,0,0,1,1,1,0,1,1
139.67857142857144,78.0,5.28,34.32,34.0,2239.0,16.346575048314364,13.861857142857142,38.535,428.54675616812574,1.0,0,0,1,1,1,0,1,1
219.4285714285714,78.0,8.292857142857143,29.38,32.0,2239.0,15.385011810178227,13.440142857142856,38.153000000000006,446.99445683861154,0.0,0,0,1,1,1,0,1,1
400.5750000000001,78.0,15.145,29.38,29.0,2423.0,15.08846897144084,13.12007142857143,37.714,451.2310199147819,0.0,1,0,1,1,1,0,1,1
608.9871428571429,78.0,23.025714285714283,31.12,36.0,2682.0,20.732660511058626,13.28447619047619,36.965,450.71006940900224,0.0,1,0,1,1,1,0,1,1
